IP	hostname
10.42.238.83	mspxap21
10.42.238.84	mspxap22
"10.42.238.98
"	"mspdom21
"
"10.42.238.99
"	"mspdom22
"
10.42.238.147	mspiap21
10.42.238.148	mspiap22
"10.42.238.151
192.168.238.151"	"mspopt21
mspopt21ha"
10.42.238.152	mspopt21vip
"10.42.238.153
192.168.238.153"	"mspopt22
mspopt22ha"
10.42.238.154	mspopt22vip
10.42.238.155	mspopt23
10.42.238.156	mspopt23
10.42.238.157	mspopt23
10.42.238.162	lxpntp23
10.42.238.163	lxpntp24
"10.42.238.165
10.10.10.165
10.10.10.175"	"lxpres21
lxpres21hsm
preshsm21"
"10.42.238.166
10.10.10.166
10.10.10.176"	"lxpres22
lxpres22hsm
preshsm22"
"10.42.238.231

192.168.44.231
192.168.44.235"	"lxpcas21

lxpcas21hsm
pcashsm21"
"10.42.238.232

192.168.44.232
192.168.44.236"	"lxpcas22

lxpcas22hsm
pcashsm22"
"10.42.238.233
192.168.238.233"	"mspcif21
mspcif21ha"
10.42.238.234	mspcif21vip
"10.42.238.235
192.168.238.235"	"mspcif22
mspcif22ha"
10.42.238.236	mspcif22vip
10.42.238.237	mspcif23
10.42.238.238	mspcif23
10.42.238.239	mspcif23
