IP	hostname
10.42.240.91	msppam21
10.42.240.92	vmpolm21
"10.42.240.101
"	"mspmgt21
msrmgt21"
10.42.240.102	mspmgt22
"10.42.240.103
"	"mspmgt23
msrmgt23"
10.42.240.121	vmpkvm21
10.42.240.122	vmpkvm22
10.42.240.123	vmpkvm23
10.42.240.124	vmpkvm24
10.42.240.125	vmpkvm25
10.42.240.126	vmpkvm26
10.42.240.127	vmpkvm27
10.42.240.128	vmpkvm28
10.42.240.129	vmpkvm29
10.42.240.130	vmpkvm30
10.42.240.131	vmpkvm31
10.42.240.132	vmpkvm32
10.42.240.141	vmpesx21
10.42.240.143	lxpedr21
10.42.240.151	ppsw21
10.42.240.153	ppsw22
10.42.240.157	pplb21
10.42.240.158	pplb22
10.42.240.161	pfcsw21
10.42.240.162	pfcsw22
10.42.240.165	pfcsan21
10.42.240.166	pfcsan22
10.42.240.211	mspopc21
10.42.240.212	mspopc22
10.42.240.213	mspopc23
10.42.240.214	mspopc24
10.42.240.220	hkpo
10.42.240.221	vmpkvm21ilo
10.42.240.222	vmpkvm22ilo
10.42.240.223	vmpkvm23ilo
10.42.240.224	vmpkvm24ilo
10.42.240.225	vmpkvm25ilo
10.42.240.226	vmpkvm26ilo
10.42.240.227	vmpkvm27ilo
10.42.240.228	vmpkvm28ilo
10.42.240.229	vmpkvm29ilo
10.42.240.230	vmpkvm30ilo
10.42.240.231	vmpkvm31ilo
10.42.240.232	vmpkvm32ilo
10.42.240.235	lxpcas21ilo
10.42.240.236	lxpcas22ilo
10.42.240.241	vmpesx21ilo
10.42.240.245	lxpofc21ilo
10.42.240.250	ppsraa
10.42.240.251	ppnat
